kin pot x y z vx vy vz
2.33797e-05 -3.67216e-05 -0.660099 6.24862 0 0.994466 0.105376 0
2.33797e-05 -3.67216e-05 -0.664025 6.24821 0 0.9944 0.106 0
2.33797e-05 -3.67216e-05 -0.667951 6.24779 0 0.994333 0.106625 0
2.33797e-05 -3.67216e-05 -0.671876 6.24737 0 0.994266 0.10725 0
2.33798e-05 -3.67216e-05 -0.675802 6.24695 0 0.994199 0.107875 0
2.33798e-05 -3.67216e-05 -0.679727 6.24652 0 0.994131 0.1085 0
2.33798e-05 -3.67216e-05 -0.683651 6.2461 0 0.994063 0.109124 0
2.33798e-05 -3.67216e-05 -0.687576 6.24567 0 0.993994 0.109749 0
2.33798e-05 -3.67215e-05 -0.6915 6.24524 0 0.993925 0.110374 0
2.33798e-05 -3.67215e-05 -0.695424 6.2448 0 0.993856 0.110998 0
2.33798e-05 -3.67215e-05 -0.699348 6.24436 0 0.993786 0.111623 0
2.33798e-05 -3.67215e-05 -0.703271 6.24392 0 0.993716 0.112247 0
2.33798e-05 -3.67215e-05 -0.707194 6.24348 0 0.993645 0.112872 0
2.33798e-05 -3.67215e-05 -0.711117 6.24304 0 0.993574 0.113496 0
2.33798e-05 -3.67215e-05 -0.71504 6.24259 0 0.993503 0.11412 0
2.33799e-05 -3.67215e-05 -0.718962 6.24214 0 0.993431 0.114745 0
2.33799e-05 -3.67215e-05 -0.722884 6.24169 0 0.993359 0.115369 0
2.33799e-05 -3.67215e-05 -0.726806 6.24124 0 0.993287 0.115993 0
2.33799e-05 -3.67215e-05 -0.730727 6.24078 0 0.993214 0.116617 0
2.33799e-05 -3.67215e-05 -0.734649 6.24032 0 0.993141 0.117241 0
2.33799e-05 -3.67215e-05 -0.738569 6.23986 0 0.993067 0.117865 0
2.33799e-05 -3.67215e-05 -0.74249 6.23939 0 0.992993 0.118489 0
2.33799e-05 -3.67215e-05 -0.74641 6.23893 0 0.992918 0.119113 0
2.33799e-05 -3.67215e-05 -0.75033 6.23846 0 0.992844 0.119737 0
2.33799e-05 -3.67215e-05 -0.75425 6.23799 0 0.992768 0.120361 0
2.33799e-05 -3.67215e-05 -0.758169 6.23751 0 0.992693 0.120985 0
2.338e-05 -3.67215e-05 -0.762088 6.23704 0 0.992617 0.121609 0
2.338e-05 -3.67215e-05 -0.766007 6.23656 0 0.99254 0.122233 0
2.338e-05 -3.67215e-05 -0.769926 6.23608 0 0.992464 0.122856 0
2.338e-05 -3.67215e-05 -0.773844 6.23559 0 0.992386 0.12348 0
2.338e-05 -3.67214e-05 -0.777762 6.23511 0 0.992309 0.124104 0
2.338e-05 -3.67214e-05 -0.781679 6.23462 0 0.992231 0.124727 0
2.338e-05 -3.67214e-05 -0.785597 6.23413 0 0.992152 0.125351 0
2.338e-05 -3.67214e-05 -0.789514 6.23363 0 0.992074 0.125974 0
2.338e-05 -3.67214e-05 -0.79343 6.23314 0 0.991994 0.126597 0
2.338e-05 -3.67214e-05 -0.797346 6.23264 0 0.991915 0.127221 0
